iter	Passed	Remaining
0	150	150605
1	151	75659
2	152	50673
3	153	38189
4	154	30679
5	154	25644
6	155	22072
7	156	19387
8	157	17295
9	157	15616
10	158	14241
11	158	13084
12	159	12134
13	160	11296
14	160	10564
15	161	9940
16	162	9384
17	162	8885
18	163	8439
19	164	8039
20	164	7676
21	165	7346
22	166	7061
23	166	6787
24	167	6536
25	168	6303
26	168	6087
27	169	5895
28	170	5712
29	171	5535
30	172	5389
31	173	5245
32	174	5101
33	174	4964
34	175	4837
35	176	4716
36	176	4600
37	177	4493
38	178	4390
39	179	4302
40	180	4212
41	181	4136
42	182	4059
43	183	3984
44	184	3912
45	185	3839
46	185	3770
47	186	3704
48	187	3644
49	188	3583
50	189	3523
51	190	3466
52	190	3410
53	191	3355
54	192	3304
55	193	3256
56	194	3210
57	195	3167
58	197	3155
59	198	3113
60	199	3073
61	200	3032
62	201	2994
63	202	2955
64	203	2922
65	204	2892
66	205	2858
67	206	2824
68	206	2791
69	207	2759
70	208	2730
71	209	2703
72	210	2677
73	211	2651
74	213	2628
75	214	2602
76	214	2575
77	215	2548
78	216	2520
79	216	2494
80	217	2468
81	218	2441
82	218	2413
83	219	2388
84	220	2370
85	221	2348
86	221	2326
87	222	2304
88	223	2283
89	223	2262
90	224	2245
91	225	2227
92	226	2207
93	227	2189
94	227	2171
95	228	2153
96	229	2135
97	230	2117
98	230	2098
99	231	2080
100	231	2063
101	232	2046
102	233	2030
103	233	2014
104	234	1998
105	235	1983
106	235	1967
107	236	1951
108	237	1937
109	237	1923
110	238	1909
111	238	1894
112	239	1882
113	240	1871
114	241	1859
115	242	1846
116	242	1832
117	243	1819
118	244	1807
119	244	1795
120	245	1783
121	245	1769
122	246	1758
123	247	1746
124	247	1735
125	248	1723
126	248	1711
127	249	1700
128	250	1691
129	251	1680
130	251	1669
131	252	1659
132	253	1649
133	253	1639
134	254	1632
135	255	1623
136	258	1630
137	259	1622
138	260	1613
139	261	1605
140	261	1595
141	262	1585
142	263	1576
143	263	1567
144	264	1557
145	264	1549
146	265	1541
147	266	1531
148	266	1523
149	267	1515
150	268	1508
151	268	1500
152	269	1493
153	270	1487
154	271	1479
155	272	1471
156	272	1464
157	273	1456
158	273	1449
159	274	1441
160	274	1432
161	275	1425
162	276	1417
163	276	1410
164	277	1402
165	277	1395
166	278	1388
167	278	1381
168	279	1374
169	280	1367
170	280	1360
171	281	1353
172	281	1347
173	282	1340
174	282	1333
175	283	1327
176	284	1321
177	285	1316
178	285	1310
179	286	1304
180	287	1298
181	287	1293
182	288	1287
183	288	1280
184	289	1275
185	290	1269
186	290	1263
187	291	1258
188	291	1252
189	292	1247
190	293	1242
191	293	1236
192	294	1231
193	295	1227
194	295	1221
195	296	1216
196	296	1210
197	297	1205
198	298	1200
199	298	1195
200	299	1190
201	300	1185
202	300	1181
203	301	1176
204	302	1171
205	302	1166
206	303	1161
207	303	1157
208	304	1152
209	305	1148
210	306	1144
211	306	1140
212	307	1135
213	308	1131
214	309	1129
215	310	1126
216	311	1123
217	312	1119
218	312	1114
219	313	1110
220	314	1107
221	314	1103
222	315	1099
223	316	1095
224	316	1091
225	317	1087
226	318	1083
227	318	1079
228	319	1075
229	320	1071
230	320	1067
231	321	1063
232	321	1059
233	322	1055
234	323	1051
235	323	1047
236	324	1043
237	324	1039
238	325	1035
239	325	1031
240	326	1028
241	327	1025
242	327	1021
243	328	1017
244	329	1014
245	329	1010
246	330	1007
247	331	1003
248	331	1000
249	332	997
250	332	993
251	333	990
252	334	986
253	334	982
254	335	979
255	335	976
256	336	973
257	337	970
258	337	966
259	338	964
260	339	961
261	340	958
262	341	955
263	341	952
264	342	949
265	342	946
266	343	942
267	343	939
268	344	936
269	345	935
270	346	932
271	347	929
272	347	926
273	348	923
274	349	920
275	349	917
276	350	915
277	351	912
278	351	909
279	352	906
280	353	903
281	353	900
282	354	898
283	354	894
284	355	892
285	356	889
286	356	886
287	357	883
288	357	880
289	358	877
290	359	874
291	359	872
292	360	869
293	361	867
294	362	866
295	363	864
296	364	861
297	364	858
298	365	856
299	365	853
300	366	850
301	366	848
302	367	845
303	368	842
304	368	840
305	369	837
306	369	834
307	370	831
308	370	829
309	371	826
310	371	823
311	372	821
312	373	818
313	373	816
314	374	813
315	375	811
316	375	809
317	376	807
318	376	804
319	377	802
320	378	800
321	378	797
322	379	795
323	380	793
324	380	791
325	381	788
326	382	786
327	382	784
328	383	781
329	383	779
330	384	777
331	385	775
332	386	773
333	387	771
334	387	769
335	388	767
336	389	765
337	390	764
338	391	762
339	392	761
340	393	759
341	393	757
342	394	755
343	394	752
344	395	750
345	395	748
346	396	746
347	397	743
348	397	741
349	398	739
350	398	737
351	399	735
352	399	732
353	400	730
354	401	728
355	401	726
356	402	724
357	402	722
358	403	720
359	404	718
